1,107331,92231,111935,110259,109737,102424,129570,106814,136820,118783,94460,119138,1366292.04
2,91788,89729,110009,127497,124784,97200,142515,148578,150357,131487,130637,111603,1427060.32
3,102908,108570,104631,134418,126597,132954,115050,137448,114164,104304,125723,99454,1392158.79
4,96136,103426,95878,132526,124246,111802,118366,112461,150993,119295,114394,109914,1472803.22
5,107712,102805,106894,117228,112225,112557,118253,126852,151649,130993,132031,101087,1562314.6
6,88459,111070,90484,110505,101066,109284,136859,114341,137712,108259,135383,100733,1290388.8
7,112111,102123,99155,119135,107787,128186,145037,135726,132966,97233,109944,130915,1335098.92
8,108783,90597,106644,110445,124849,110793,152779,153489,113382,97543,122210,104759,1466086.65
9,111562,108718,110195,101974,116235,101977,112187,145282,123071,119461,103407,114772,1245645.31
10,95368,89111,90728,120066,114664,129138,122111,145469,155668,116102,125791,111728,1330987.36
11,108640,108041,105980,135019,119877,122094,155969,112007,137202,110993,103034,128982,1360967.72
12,105856,91267,109896,120499,130431,130123,124647,132152,143392,106111,126304,107126,1499194.2
13,105904,99773,109364,102973,125747,125615,118611,105297,107813,115086,134916,135398,1233982.33
14,105498,103481,93554,128905,108368,127187,138833,115719,112122,100947,134820,108986,1199225.4
15,96609,101388,111358,122988,114063,119306,149856,106639,155623,131851,122735,110526,1457371.42
16,100092,93505,104108,124576,122012,105584,155879,109228,135910,135742,135760,119002,1527881.88
17,102829,110155,91944,126772,118453,113805,105984,139277,148304,118612,102144,103622,1381901
18,91391,108521,111254,129481,131331,126864,149636,138941,154085,132494,108411,121718,1383796.84
19,101904,100187,100031,135542,111596,94641,133857,131594,121297,122275,101524,128054,1313376.9
20,100971,106767,106522,131705,110010,105702,139491,117093,147793,123329,97602,99184,1275275.48
21,112534,98584,94104,126025,95413,133327,146758,110540,139597,134914,131933,94806,1262496.15
22,96710,106672,98430,128138,121108,118123,151840,126085,144560,104757,102209,113082,1397596.86
23,87576,111696,109249,134484,110780,111036,136611,117739,148677,121523,117317,120698,1513029.16
24,105855,101682,96943,123281,98373,115623,115172,153592,148351,134783,103733,120988,1304905.92
25,97984,99584,94710,131456,112978,128213,151619,116172,134183,125386,98254,134302,1510331.46
26,88365,98935,102428,95315,124474,104756,148283,125023,111915,103405,99415,96303,1168755.3
27,105035,92458,92850,131777,112197,121679,123428,124052,147628,97711,101177,110951,1184020.41
28,101928,111030,98509,116081,135173,130576,145168,121840,114039,107844,123484,121980,1570417.2
29,101488,113940,99562,126843,133565,130839,132900,154305,121617,118087,100236,100556,1562992.42
30,106227,101867,106937,107428,123943,121963,143706,121883,143912,116770,98664,129323,1579111.53
31,103975,96351,103372,104381,105850,116396,133273,141483,122262,107179,118693,130762,1370137.23
32,94962,100067,104906,115636,108314,101135,148522,123113,144326,93762,108925,133397,1349523.7
33,99355,95505,111260,100720,96862,132161,132306,140598,123265,98205,123442,121258,1388686.37
34,110746,88740,100011,116117,110951,107965,107872,119262,107000,130763,124690,96489,1162133.28
35,98989,108234,87899,132246,134958,93771,150749,122524,153152,108478,101699,93935,1553030.08
36,105954,94536,95160,125474,95272,129803,139363,147105,152636,95708,106765,125303,1271771.1
37,95686,108171,108056,103768,134646,132725,146531,114883,129117,108841,105151,133214,1349749.55
38,100105,108224,111855,132250,111310,130508,143479,149927,138235,102567,122531,110081,1373407.68
39,87751,88197,111757,128958,129436,131413,117550,140571,127684,130870,116031,101176,1326710.36
40,101405,113911,89103,103617,95737,131954,125562,122845,127698,94135,108030,118560,1305905.86
41,108108,113434,90069,112163,121126,113401,127253,116630,155226,103388,96135,126854,1452976.35
42,89151,89386,111353,122618,100620,131352,115550,130002,118988,127901,123479,133811,1491805.77
43,103751,105038,90988,124963,119338,106835,119978,125739,124076,133413,110723,122202,1456396.2
44,99194,94614,98352,108752,125838,109158,128574,106788,132310,114697,98615,116209,1479742.11
45,108505,104911,114786,126772,132390,112348,105762,136158,116082,112303,95289,128050,1295821.08
46,93580,113767,94008,119056,118535,116824,142500,145593,152707,94918,127427,96796,1472339.44
47,114936,96428,87670,110326,99989,119308,142618,154515,107361,119195,119901,131739,1249547.54
48,103645,113645,92937,101556,116147,131245,147772,154755,121083,126583,134607,134355,1330497
49,100733,101238,105049,113079,94012,114502,148437,117958,138357,107346,94000,105164,1192488.75
50,110373,91972,105491,129809,98560,119508,133539,116210,123899,118077,121321,108584,1515077.3
